mun_inegi,anio,nom_ent,nom_mun,prop_corrup_inc19,prop_corrup5_inc19
01001,2019,Aguascalientes,Aguascalientes,12.878200155159039,10.536490049012327
01005,2019,Aguascalientes,Jesús María,3.225806451612903,2.6716795315411233
02001,2019,Baja California,Ensenada,10.2803738317757,2.940773759717637
02002,2019,Baja California,Mexicali,8.389261744966444,11.095121283021008
02004,2019,Baja California,Tijuana,8.598130841121495,6.691056771252805
03003,2019,Baja California Sur,La Paz,5.392620624408704,5.57791834387579
04002,2019,Campeche,Campeche,9.965034965034965,7.323338857917734
04003,2019,Campeche,Carmen,9.821428571428571,7.325724319578578
05002,2019,Coahuila de Zaragoza,Acuña,11.267605633802818,19.5870552962631
05010,2019,Coahuila de Zaragoza,Frontera,9.375,5.025253597045966
05017,2019,Coahuila de Zaragoza,Matamoros,18.51851851851852,12.634505669098
05018,2019,Coahuila de Zaragoza,Monclova,7.207207207207207,5.378340980263637
05022,2019,Coahuila de Zaragoza,Nava,0,23.07425799745929
05025,2019,Coahuila de Zaragoza,Piedras Negras,11.267605633802818,20.961942622743273
05027,2019,Coahuila de Zaragoza,Ramos Arizpe,2.631578947368421,8.82993141402111
05030,2019,Coahuila de Zaragoza,Saltillo,6.571428571428571,16.321325547034405
05035,2019,Coahuila de Zaragoza,Torreón,22.111269614835948,15.951457737482903
06002,2019,Colima,Colima,3.512396694214876,1.9747619535169447
06007,2019,Colima,Manzanillo,5.275779376498801,5.039275728930901
06010,2019,Colima,Villa de Álvarez,9.692671394799055,7.645360824742268
07027,2019,Chiapas,Chiapa de Corzo,8.16326530612245,8.68270856820744
07078,2019,Chiapas,San Cristóbal de las Casas,7.03125,9.395390139376858
07089,2019,Chiapas,Tapachula,14.356435643564355,18.746786412093375
07101,2019,Chiapas,Tuxtla Gutiérrez,10.45045045045045,12.441434063055684
08017,2019,Chihuahua,Cuauhtémoc,6.976744186046512,8.440553427655749
08019,2019,Chihuahua,Chihuahua,11.875,6.649686644613776
08021,2019,Chihuahua,Delicias,7.6923076923076925,8.681124959002952
08032,2019,Chihuahua,Hidalgo del Parral,4.545454545454546,0
08037,2019,Chihuahua,Juárez,4.9800796812749,3.8910086981594505
09002,2019,Ciudad de México,Azcapotzalco,13.023255813953488,9.931413933003968
09003,2019,Ciudad de México,Coyoacán,14.549653579676674,8.940761424130486
09004,2019,Ciudad de México,Cuajimalpa de Morelos,22,13.2711227813601
09005,2019,Ciudad de México,Gustavo A. Madero,10.673443456162643,3.224466126756619
09006,2019,Ciudad de México,Iztacalco,11.87214611872146,5.45487024586703
09007,2019,Ciudad de México,Iztapalapa,15.384615384615385,17.540456039850167
09008,2019,Ciudad de México,La Magdalena Contreras,19.25925925925926,19.87462977238609
09009,2019,Ciudad de México,Milpa Alta,4.25531914893617,4.765508654573862
09010,2019,Ciudad de México,Álvaro Obregón,14.328358208955224,13.046151620370368
09011,2019,Ciudad de México,Tláhuac,14.084507042253522,20.016998585391697
09012,2019,Ciudad de México,Tlalpan,15.363881401617252,5.096774193548387
09013,2019,Ciudad de México,Xochimilco,12.738853503184714,13.44108103667803
09014,2019,Ciudad de México,Benito Juárez,16.927899686520377,21.061431422253385
09015,2019,Ciudad de México,Cuauhtémoc,11.036789297658862,4.164424343046889
