mun_inegi,nom_ent,nom_mun,frec_corrup,frec_no_corrup,prop_corrup
01001,Aguascalientes,Aguascalientes,9453,573693,1.6477453969283222
01005,Aguascalientes,Jesús María,1159,45673,2.5376042738598295
02001,Baja California,Ensenada,5700,238423,2.390708950059348
02002,Baja California,Mexicali,3020,561137,0.5381929903036157
02004,Baja California,Tijuana,6062,1121263,0.5406403314833362
03003,Baja California Sur,La Paz,3081,206889,1.4892043559589925
04002,Campeche,Campeche,2749,188745,1.4564624228456382
04003,Campeche,Carmen,1039,140774,0.7380624263003112
05002,Coahuila de Zaragoza,Acuña,0,94296,0
05010,Coahuila de Zaragoza,Frontera,0,45760,0
05017,Coahuila de Zaragoza,Matamoros,1368,36421,3.7560747920155957
05018,Coahuila de Zaragoza,Monclova,2651,183890,1.4416227092283431
05022,Coahuila de Zaragoza,Nava,0,9325,0
05025,Coahuila de Zaragoza,Piedras Negras,3122,96402,3.2385220223646813
05027,Coahuila de Zaragoza,Ramos Arizpe,0,55560,0
05030,Coahuila de Zaragoza,Saltillo,17744,520407,3.4096389940950065
05035,Coahuila de Zaragoza,Torreón,11440,496311,2.30500633675256
06002,Colima,Colima,2623,115875,2.263646170442287
06007,Colima,Manzanillo,2412,106808,2.258257808403865
06010,Colima,Villa de Álvarez,1968,104278,1.8872628934195133
07027,Chiapas,Chiapa de Corzo,702,64093,1.0952834162857097
07078,Chiapas,San Cristóbal de las Casas,3901,120810,3.229037331346743
07089,Chiapas,Tapachula,3123,165262,1.889726615918965
07101,Chiapas,Tuxtla Gutiérrez,4749,411971,1.1527510431559502
08017,Chihuahua,Cuauhtémoc,0,88553,0
08019,Chihuahua,Chihuahua,13362,646304,2.0674481358617616
08021,Chihuahua,Delicias,0,95128,0
08032,Chihuahua,Hidalgo del Parral,4450,78442,5.6729813110323555
08037,Chihuahua,Juárez,15123,1007216,1.5014654254896664
09002,Ciudad de México,Azcapotzalco,4521,272139,1.661283388268495
09003,Ciudad de México,Coyoacán,988,635204,0.15554058223814712
09004,Ciudad de México,Cuajimalpa de Morelos,14658,199092,7.362425411367608
09005,Ciudad de México,Gustavo A. Madero,15159,1051238,1.4420140824437473
09006,Ciudad de México,Iztacalco,2742,288795,0.9494624214408144
09007,Ciudad de México,Iztapalapa,16542,1182286,1.3991538426404442
09008,Ciudad de México,La Magdalena Contreras,4935,188646,2.6160109411278265
09009,Ciudad de México,Milpa Alta,6651,74614,8.913876752352106
09010,Ciudad de México,Álvaro Obregón,13134,470827,2.7895596471740154
09011,Ciudad de México,Tláhuac,0,325817,0
09012,Ciudad de México,Tlalpan,13417,572783,2.3424228721871985
09013,Ciudad de México,Xochimilco,2504,230127,1.0880948345913344
09014,Ciudad de México,Benito Juárez,0,352184,0
09015,Ciudad de México,Cuauhtémoc,9686,357326,2.7106899581894406
09016,Ciudad de México,Miguel Hidalgo,4471,237640,1.8814172698198957
09017,Ciudad de México,Venustiano Carranza,1557,302027,0.5155168246547495
10005,Durango,Durango,7092,388361,1.8261359920280356
10007,Durango,Gómez Palacio,6085,194789,3.1238930329741414
10012,Durango,Lerdo,579,67759,0.8544990333387447
11007,Guanajuato,Celaya,3480,248674,1.3994225371369744
11015,Guanajuato,Guanajuato,1656,87276,1.8974288464182594
11017,Guanajuato,Irapuato,8006,284627,2.812804126101881
11020,Guanajuato,León,56302,910087,6.186441516030885
11025,Guanajuato,Purísima del Rincón,3714,21718,17.101022193572152
11027,Guanajuato,Salamanca,1933,128495,1.5043386902214093
11031,Guanajuato,San Francisco del Rincón,5453,45440,12.00044014084507
12001,Guerrero,Acapulco de Juárez,5824,517962,1.1244068097659674
12029,Guerrero,Chilpancingo de los Bravo,2623,138232,1.8975345795474274
12035,Guerrero,Iguala de la Independencia,1758,84364,2.0838272248826515
13016,Hidalgo,Cuautepec de Hinojosa,0,16674,0
13048,Hidalgo,Pachuca de Soto,5000,206363,2.4229149605307154
13051,Hidalgo,Mineral de la Reforma,407,83839,0.4854542635289066
13056,Hidalgo,Santiago Tulantepec de Lugo Guerrero,0,16046,0
13077,Hidalgo,Tulancingo de Bravo,995,75038,1.3259948292864947
14039,Jalisco,Guadalajara,22017,847488,2.597912890801994
14067,Jalisco,Puerto Vallarta,1479,170741,0.866224281221265
14070,Jalisco,El Salto,6401,48048,13.322094572094572
14097,Jalisco,Tlajomulco de Zúñiga,0,46998,0
14098,Jalisco,San Pedro Tlaquepaque,11969,570768,2.096999130995431
14101,Jalisco,Tonalá,6506,454826,1.4304371342007713
14120,Jalisco,Zapopan,17749,955988,1.8566132629279868
15002,México,Acolman,0,251593,0
15005,México,Almoloya de Juárez,0,50001,0
15011,México,Atenco,0,104768,0
15013,México,Atizapán de Zaragoza,0,541998,0
15018,México,Calimaya,0,19759,0
15020,México,Coacalco de Berriozábal,0,359215,0
15023,México,Coyotepec,0,36684,0
15024,México,Cuautitlán,5416,143692,3.769172953261142
15025,México,Chalco,5611,102645,5.466413366457207
15029,México,Chicoloapan,0,95815,0
15031,México,Chimalhuacán,0,555227,0
15033,México,Ecatepec de Morelos,8634,1295016,0.6667099093756371
15037,México,Huixquilucan,0,237403,0
15039,México,Ixtapaluca,0,357560,0
15044,México,Jaltenco,0,39399,0
15053,México,Melchor Ocampo,0,38351,0
15054,México,Metepec,0,155442,0
15057,México,Naucalpan de Juárez,21711,644103,3.370734183818427
15058,México,Nezahualcóyotl,12116,846275,1.4316859176981478
15059,México,Nextlalpan,0,44553,0
15060,México,Nicolás Romero,0,138601,0
15070,México,La Paz,0,276192,0
15076,México,San Mateo Atenco,0,29310,0
15081,México,Tecámac,0,416685,0
15091,México,Teoloyucan,0,44370,0
15092,México,Teotihuacán,0,72835,0
15099,México,Texcoco,0,39916,0
15100,México,Tezoyuca,0,72391,0
15104,México,Tlalnepantla de Baz,0,591651,0
15106,México,Toluca,8522,641599,1.3282439654675273
15108,México,Tultepec,0,43659,0
15109,México,Tultitlán,8575,521595,1.643995820512083
15118,México,Zinacantepec,0,91038,0
15120,México,Zumpango,0,109866,0
15121,México,Cuautitlán Izcalli,4972,444758,1.1179113135682774
15122,México,Valle de Chalco Solidaridad,0,287189,0
16043,Michoacán de Ocampo,Jacona,0,41630,0
16053,Michoacán de Ocampo,Morelia,8893,486969,1.8261942752002693
16088,Michoacán de Ocampo,Tarímbaro,0,2517,0
16102,Michoacán de Ocampo,Uruapan,340,202891,0.1675776648545278
16108,Michoacán de Ocampo,Zamora,0,92715,0
17004,Morelos,Ayala,0,8309,0
17006,Morelos,Cuautla,648,124060,0.5223279058520071
17007,Morelos,Cuernavaca,2760,264503,1.0434664257116177
17008,Morelos,Emiliano Zapata,1027,53502,1.9195544091809653
17011,Morelos,Jiutepec,1990,176464,1.1277087677939976
17018,Morelos,Temixco,449,91249,0.49206018696095305
17020,Morelos,Tepoztlán,0,2855,0
17028,Morelos,Xochitepec,0,30628,0
17029,Morelos,Yautepec,518,7208,7.186459489456159
17030,Morelos,Yecapixtla,0,8374,0
18008,Nayarit,Xalisco,572,33244,1.7206112381181569
18017,Nayarit,Tepic,3712,286637,1.2950177402079983
19006,Nuevo León,Apodaca,6380,417312,1.5288321447741737
19018,Nuevo León,García,0,33198,0
19019,Nuevo León,San Pedro Garza García,0,96678,0
19021,Nuevo León,General Escobedo,5628,345663,1.6281754194113922
19026,Nuevo León,Guadalupe,10952,563092,1.9449752438322692
19031,Nuevo León,Juárez,1804,158482,1.1382996176221905
19039,Nuevo León,Monterrey,5789,728824,0.7942932724498645
19046,Nuevo León,San Nicolás de los Garza,6302,391290,1.6105701653505073
19048,Nuevo León,Santa Catarina,4672,315736,1.479717232117972
19049,Nuevo León,Santiago,0,60515,0
20067,Oaxaca,Oaxaca de Juárez,1946,206679,0.9415567135509655
20083,Oaxaca,San Agustín de las Juntas,0,5660,0
20087,Oaxaca,San Agustín Yatareni,0,5568,0
20091,Oaxaca,San Andrés Huayápam,0,2265,0
20107,Oaxaca,San Antonio de la Cal,415,16773,2.4742145114171588
20157,Oaxaca,San Jacinto Amilpas,0,5429,0
20184,Oaxaca,San Juan Bautista Tuxtepec,0,75673,0
20227,Oaxaca,San Lorenzo Cacaotepec,0,1430,0
20293,Oaxaca,San Pablo Etla,0,13514,0
20350,Oaxaca,San Sebastián Tutla,0,7534,0
20375,Oaxaca,Santa Cruz Amilpas,0,8054,0
20385,Oaxaca,Santa Cruz Xoxocotlán,413,51465,0.8024871271738074
20390,Oaxaca,Santa Lucía del Camino,0,29533,0
20399,Oaxaca,Santa María Atzompa,0,26305,0
20409,Oaxaca,Santa María del Tule,0,11156,0
20519,Oaxaca,Santo Domingo Tomaltepec,0,4564,0
20553,Oaxaca,Tlalixtac de Cabrera,0,10941,0
21015,Puebla,Amozoc,0,84239,0
21034,Puebla,Coronango,1635,39839,4.104018675167549
21041,Puebla,Cuautlancingo,0,94957,0
21090,Puebla,Juan C. Bonilla,0,7952,0
21114,Puebla,Puebla,15435,1156806,1.334277311839669
21119,Puebla,San Andrés Cholula,0,40494,0
21125,Puebla,San Gregorio Atzompa,0,11799,0
21140,Puebla,San Pedro Cholula,0,123269,0
21156,Puebla,Tehuacán,2631,170885,1.5396319162009537
22006,Querétaro,Corregidora,11150,104130,10.707769134735427
22011,Querétaro,El Marqués,0,2895,0
22014,Querétaro,Querétaro,23259,539616,4.3102873154243015
22016,Querétaro,San Juan del Río,2548,120193,2.119923789238974
23003,Quintana Roo,Isla Mujeres,0,26041,0
23004,Quintana Roo,Othón P. Blanco,0,150506,0
23005,Quintana Roo,Benito Juárez,7763,570495,1.3607481222447173
23008,Quintana Roo,Solidaridad,2598,125178,2.075444566936682
24013,San Luis Potosí,Ciudad Valles,2114,86866,2.43363341238229
24028,San Luis Potosí,San Luis Potosí,9735,623491,1.5613697711755261
24035,San Luis Potosí,Soledad de Graciano Sánchez,5232,178973,2.9233459795611627
25001,Sinaloa,Ahome,2497,205752,1.2135969516699716
25006,Sinaloa,Culiacán,11634,516740,2.251422378759144
25012,Sinaloa,Mazatlán,803,295350,0.2718808193668529
26018,Sonora,Cajeme,5988,247413,2.4202446920735774
26029,Sonora,Guaymas,888,99450,0.8929110105580694
26030,Sonora,Hermosillo,6461,566130,1.1412573083920654
26042,Sonora,Navojoa,705,82778,0.851675565971635
26043,Sonora,Nogales,4722,162109,2.9128549309415273
26055,Sonora,San Luis Río Colorado,1826,125348,1.4567444235249067
27004,Tabasco,Centro,4450,296268,1.5020184427612837
27013,Tabasco,Nacajuca,0,12807,0
28003,Tamaulipas,Altamira,6817,136344,4.999853312210291
28009,Tamaulipas,Ciudad Madero,699,146609,0.47677836967716847
28022,Tamaulipas,Matamoros,3311,354989,0.9327049570550073
28027,Tamaulipas,Nuevo Laredo,23248,252512,9.206691167152451
28032,Tamaulipas,Reynosa,4252,460079,0.9241891066534227
28038,Tamaulipas,Tampico,15505,268884,5.766427158179735
28041,Tamaulipas,Victoria,5194,248141,2.0931647732539163
29001,Tlaxcala,Amaxac de Guerrero,0,10950,0
29002,Tlaxcala,Apetatitlán de Antonio Carvajal,0,10431,0
29005,Tlaxcala,Apizaco,633,42794,1.4791793242043276
29009,Tlaxcala,Cuaxomulco,0,6224,0
29010,Tlaxcala,Chiautempan,0,58343,0
29017,Tlaxcala,Mazatecochco de José María Morelos,0,13680,0
29018,Tlaxcala,Contla de Juan Cuamatzi,0,16978,0
29022,Tlaxcala,Acuamanala de Miguel Hidalgo,0,1671,0
29023,Tlaxcala,Natívitas,0,2940,0
29024,Tlaxcala,Panotla,0,11372,0
29025,Tlaxcala,San Pablo del Monte,781,63009,1.2395054674729007
29026,Tlaxcala,Santa Cruz Tlaxcala,0,2630,0
29027,Tlaxcala,Tenancingo,0,1848,0
29028,Tlaxcala,Teolocholco,0,11128,0
29029,Tlaxcala,Tepeyanco,0,2850,0
29031,Tlaxcala,Tetla de la Solidaridad,453,29162,1.5533913997668198
29032,Tlaxcala,Tetlatlahuca,0,6052,0
29033,Tlaxcala,Tlaxcala,1219,68485,1.7799518142658974
29035,Tlaxcala,Tocatlán,497,4356,11.409550045913683
29036,Tlaxcala,Totolac,0,8241,0
29038,Tlaxcala,Tzompantepec,0,9187,0
29039,Tlaxcala,Xaloztoc,187,12759,1.4656321028293753
29040,Tlaxcala,Xaltocan,844,4392,19.216757741347905
29041,Tlaxcala,Papalotla de Xicohténcatl,0,13772,0
29042,Tlaxcala,Xicohtzinco,0,14157,0
29043,Tlaxcala,Yauhquemehcan,768,23787,3.2286543069743976
29044,Tlaxcala,Zacatelco,509,19010,2.6775381378221987
29048,Tlaxcala,La Magdalena Tlaltelulco,0,9127,0
29049,Tlaxcala,San Damián Texóloc,0,4262,0
29050,Tlaxcala,San Francisco Tetlanohcan,0,8463,0
29051,Tlaxcala,San Jerónimo Zacualpan,0,10016,0
29053,Tlaxcala,San Juan Huactzinco,0,4027,0
29054,Tlaxcala,San Lorenzo Axocomanitla,0,5137,0
29057,Tlaxcala,Santa Apolonia Teacalco,0,2076,0
29058,Tlaxcala,Santa Catarina Ayometla,0,7483,0
29060,Tlaxcala,Santa Isabel Xiloxoxtla,0,1539,0
30014,Veracruz de Ignacio de la Llave,Amatlán de los Reyes,1690,7605,22.22222222222222
