method,prop,prevalence,specifiticy,FPR,TPR,precision,F1_score
Percepción,0,0.5365,0.8125,0.1875,0.8108108108108109,0.8333333333333334,0.8219178082191781
Percepción,1,0.4464,0.8157894736842105,0.1842105263157895,0.5806451612903226,0.72,0.6428571428571428
Percepción,2,0.2318,0.9056603773584906,0.09433962264150941,0.125,0.2857142857142857,0.17391304347826086
Percepción,3,0.133,0.9666666666666667,0.033333333333333326,0,0,NA
Percepción,4,0.0901,1,0,0,NA,NA
Percepción,5,0.0773,1,0,0,NA,NA
Percepción,6,0.0558,1,0,0,NA,NA
Percepción,7,0.0515,1,0,0,NA,NA
Percepción,8,0.0429,1,0,0,NA,NA
Percepción,9,0.0429,1,0,0,NA,NA
Percepción,10,0.0386,1,0,0,NA,NA
Percepción,11,0.0343,1,0,0,NA,NA
Percepción,12,0.03,1,0,0,NA,NA
Percepción,13,0.0258,1,0,0,NA,NA
Percepción,14,0.0215,1,0,0,NA,NA
Percepción,15,0.0215,1,0,0,NA,NA
Percepción,16,0.0215,1,0,0,NA,NA
Percepción,17,0.0172,1,0,0,NA,NA
Percepción,18,0.0129,1,0,NA,NA,NA
Percepción,19,0.0129,1,0,NA,NA,NA
Percepción,20,0.0086,1,0,NA,NA,NA
Incidencia,0,0.7382,0.3888888888888889,0.6111111111111112,0.8627450980392157,0.8,0.8301886792452831
Incidencia,1,0.7124,0.15,0.85,0.8367346938775511,0.7068965517241379,0.7663551401869159
Incidencia,2,0.6695,0.08695652173913043,0.9130434782608696,0.8478260869565217,0.65,0.7358490566037735
Incidencia,3,0.6052,0.48148148148148145,0.5185185185185186,0.7619047619047619,0.6956521739130435,0.7272727272727272
Incidencia,4,0.5579,0.43333333333333335,0.5666666666666667,0.5641025641025641,0.5641025641025641,0.5641025641025641
Incidencia,5,0.515,0.5151515151515151,0.48484848484848486,0.3888888888888889,0.4666666666666667,0.42424242424242425
Incidencia,6,0.4635,0.5135135135135135,0.4864864864864865,0.59375,0.5135135135135135,0.5507246376811593
Incidencia,7,0.4034,0.6341463414634146,0.36585365853658536,0.42857142857142855,0.4444444444444444,0.43636363636363634
Incidencia,8,0.3648,0.6363636363636364,0.36363636363636365,0.36,0.36,0.36
Incidencia,9,0.3305,0.6739130434782609,0.32608695652173914,0.391304347826087,0.375,0.3829787234042554
Incidencia,10,0.2661,0.8823529411764706,0.11764705882352944,0.1111111111111111,0.25,0.15384615384615383
Incidencia,11,0.2446,0.8653846153846154,0.13461538461538458,0,0,NA
Incidencia,12,0.2189,0.8333333333333334,0.16666666666666663,0.4,0.4,0.4000000000000001
Incidencia,13,0.1888,0.9464285714285714,0.0535714285714286,0,0,NA
Incidencia,14,0.1674,0.9310344827586207,0.06896551724137934,0,0,NA
Incidencia,15,0.1588,0.9310344827586207,0.06896551724137934,0,0,NA
Incidencia,16,0.1416,1,0,0,NA,NA
Incidencia,17,0.1245,0.9836065573770492,0.016393442622950838,0,0,NA
Incidencia,18,0.0987,0.9523809523809523,0.04761904761904767,0.16666666666666666,0.25,0.2
Incidencia,19,0.073,1,0,0,NA,NA
Incidencia,20,0.073,1,0,0,NA,NA
