method,prop,prevalence,specifiticy,FPR,TPR,precision,F1_score
Percepción,0,0.5365,0.75,0.25,0.8378378378378378,0.7948717948717948,0.8157894736842105
Percepción,1,0.4464,0.8157894736842105,0.1842105263157895,0.6774193548387096,0.75,0.7118644067796611
Percepción,2,0.2318,0.9056603773584906,0.09433962264150941,0.125,0.2857142857142857,0.17391304347826086
Percepción,3,0.133,0.9666666666666667,0.033333333333333326,0,0,NA
Percepción,4,0.0901,0.9682539682539683,0.031746031746031744,0,0,NA
Percepción,5,0.0773,1,0,0,NA,NA
Percepción,6,0.0558,1,0,0,NA,NA
Percepción,7,0.0515,1,0,0,NA,NA
Percepción,8,0.0429,1,0,0,NA,NA
Percepción,9,0.0429,1,0,0,NA,NA
Percepción,10,0.0386,0.9552238805970149,0.04477611940298509,0,0,NA
Percepción,11,0.0343,1,0,0,NA,NA
Percepción,12,0.03,1,0,0,NA,NA
Percepción,13,0.0258,0.9852941176470589,0.014705882352941124,0,0,NA
Percepción,14,0.0215,1,0,0,NA,NA
Percepción,15,0.0215,1,0,0,NA,NA
Percepción,16,0.0215,1,0,0,NA,NA
Percepción,17,0.0172,1,0,0,NA,NA
Percepción,18,0.0129,1,0,NA,NA,NA
Percepción,19,0.0129,1,0,NA,NA,NA
Percepción,20,0.0086,1,0,NA,NA,NA
Incidencia,0,0.7382,0.3333333333333333,0.6666666666666667,0.9019607843137255,0.7931034482758621,0.8440366972477066
Incidencia,1,0.7124,0.15,0.85,0.9387755102040817,0.7301587301587301,0.8214285714285714
Incidencia,2,0.6695,0.391304347826087,0.6086956521739131,0.7391304347826086,0.7083333333333334,0.723404255319149
Incidencia,3,0.6052,0.5185185185185185,0.4814814814814815,0.7142857142857143,0.6976744186046512,0.7058823529411765
Incidencia,4,0.5579,0.6,0.4,0.717948717948718,0.7,0.708860759493671
Incidencia,5,0.515,0.5757575757575758,0.4242424242424242,0.6111111111111112,0.6111111111111112,0.6111111111111112
Incidencia,6,0.4635,0.6486486486486487,0.3513513513513513,0.5625,0.5806451612903226,0.5714285714285715
Incidencia,7,0.4034,0.7560975609756098,0.24390243902439024,0.5357142857142857,0.6,0.5660377358490566
Incidencia,8,0.3648,0.8636363636363636,0.13636363636363635,0.36,0.6,0.45
Incidencia,9,0.3305,0.7608695652173914,0.23913043478260865,0.391304347826087,0.45,0.4186046511627907
Incidencia,10,0.2661,0.9803921568627451,0.019607843137254943,0.4444444444444444,0.8888888888888888,0.5925925925925926
Incidencia,11,0.2446,0.9423076923076923,0.05769230769230771,0.35294117647058826,0.6666666666666666,0.46153846153846156
Incidencia,12,0.2189,0.8518518518518519,0.14814814814814814,0.26666666666666666,0.3333333333333333,0.2962962962962963
Incidencia,13,0.1888,0.8571428571428571,0.1428571428571429,0.07692307692307693,0.1111111111111111,0.09090909090909093
Incidencia,14,0.1674,0.8793103448275862,0.12068965517241381,0.18181818181818182,0.2222222222222222,0.19999999999999998
Incidencia,15,0.1588,0.9655172413793104,0.03448275862068961,0,0,NA
Incidencia,16,0.1416,1,0,0.1111111111111111,1,0.19999999999999998
Incidencia,17,0.1245,0.9672131147540983,0.032786885245901676,0.125,0.3333333333333333,0.18181818181818182
Incidencia,18,0.0987,1,0,0.16666666666666666,1,0.2857142857142857
Incidencia,19,0.073,0.984375,0.015625,0.2,0.5,0.28571428571428575
Incidencia,20,0.073,0.984375,0.015625,0.2,0.5,0.28571428571428575
