"method","prop","prevalence","precision","recall"
"Incidencia",0,0.7382,0.8,0.862745098039216
"Incidencia",0.81494889312102,0.7253,0.758620689655172,0.88
"Incidencia",1.62989778624204,0.6953,0.740740740740741,0.833333333333333
"Incidencia",2.44484667936306,0.6481,0.702127659574468,0.733333333333333
"Incidencia",3.25979557248408,0.5966,0.63265306122449,0.75609756097561
"Incidencia",4.0747444656051,0.5536,0.475,0.5
"Incidencia",4.88969335872612,0.515,0.466666666666667,0.388888888888889
"Incidencia",5.70464225184714,0.4721,0.470588235294118,0.484848484848485
"Incidencia",6.51959114496816,0.4378,0.5,0.6
"Incidencia",7.33454003808918,0.3906,0.388888888888889,0.259259259259259
