"method","prop","prevalence","precision","recall"
"Percepción",0,0.5365,0.763157894736842,0.783783783783784
"Percepción",0.197129253032919,0.5322,0.727272727272727,0.648648648648649
"Percepción",0.394258506065839,0.5236,0.72972972972973,0.75
"Percepción",0.591387759098758,0.4979,0.678571428571429,0.558823529411765
"Percepción",0.788517012131677,0.485,0.666666666666667,0.727272727272727
"Percepción",0.985646265164596,0.4464,0.709677419354839,0.709677419354839
"Percepción",1.18277551819752,0.412,0.555555555555556,0.535714285714286
"Percepción",1.37990477123043,0.382,0.548387096774194,0.653846153846154
"Percepción",1.57703402426335,0.3047,0.4375,0.333333333333333
"Percepción",1.77416327729627,0.2747,0.416666666666667,0.263157894736842
