"nom_ent","nom_mun","mun_inegi","anio","pobtot_mun","cs_revenue_perCapita","cs_total_general_fund","cs_intergov_revs_total_revs","cs_propety_tax_total_revs","bs_operating_exp","bs_operating_balance","bs_expenditure_perCapita","lrs_direct_long_term_debt_pobtot","lrs_debt_service_total_rev","mun_tipo","graproes_mun","per_pea_mpio","per_pea_edo","per_desocupada_mpio","per_desocupada_edo","imn_2020_mpio","ime_2020_edo","po2sm","pder_ss","pea","pe_inac","pocupada","pdesocup","psinder","analf","sbasc","ovsde","ovsee","ovsae","ovpt","vhac","pl.5000","im_2020","gm_2020","egresos_total_de_egresos","egresos_servicios_personales","egresos_materiales_y_suministros","egresos_servicios_generales","egresos_transferencias_asignaciones_subsidios_y_otras_ayudas","egresos_bienes_muebles_inmuebles_e_intangibles","egresos_inversion_publica","egresos_deuda_publica","egresos_inversiones_financieras_y_otras_provisiones","ingresos_total_de_ingresos","ingresos_impuestos","ingresos_contribuciones_de_mejoras","ingresos_derechos","ingresos_productos","ingresos_aprovechamientos","ingresos_participaciones_federales","ingresos_aportaciones_federales_y_estatales","ingresos_financiamiento","egresos_disponibilidad_final","egresos_otros_egresos","ingresos_otros_ingresos","ingresos_disponibilidad_inicial","prop_corrup_percepcion","prop_corrup_incidencia","prop_corrup_incidencia_5años","pib_edo","graproes_edo","pobtot_edo","pib_percapita_edo"
"Aguascalientes","Aguascalientes",1001,2018,948990,3845.651965,0.332662,0.606587,"0.121541",0.713073,0.908965,3845.651965,"152.15276299999999","3.9565000000000003E-2",3,10.84,0.5128346979420225,59.37499999999999,0.010719817911674517,3.4501021224999997,0.944508,0.816929193,54.226594,774363,486675,269195,476502,10173,173199,1.644738,20.36722,0.104799,0.113169,0.37861,0.591434,10.33953,7.523683,60.318795,"Muy bajo",3649485258,1455455379,532953306,613938938,465509619,107139827,330096738,144391451,0,3649485258,496346733,269594,516245151,47374417,43289419,1456394680,757334499,332230765,0,0,0,0,34.7108358167965,12.990007686395,14.1046392117514,224891.592,10.530000000000001,1078919,0.2084415901471751
"Aguascalientes","Jesús María",1005,2018,129929,3913.122729,0.351805,0.481168,"0.19806099999999999",0.593563,0.920557,3913.122729,"128.431174","3.2821000000000003E-2",2,10.22,0.5067305990194645,59.37499999999999,0.006880680987308453,3.4501021224999997,0.924042,0.816929193,56.748753,102428,65839,33247,64945,894,27299,2.380588,26.692477,0.277034,0.354957,0.860426,1.312652,16.404575,37.164143,59.011762,"Muy bajo",508428123,247479439,39824314,86941817,53500099,31639674,32355846,16686934,0,508428123,106467640,380344,56691574,101656,1016432,179595981,123783483,40391013,0,0,0,0,46.7240756353125,4.16666666666666,7.56934649741419,224891.592,10.530000000000001,1078919,0.2084415901471751
"Baja California","Ensenada",2001,2018,443807,4282.50697,0.382309,22.785242,"0.107242",33.423619,0.905784,4282.50697,"307.93517900000001","7.1904999999999997E-2",3,10.34,0.5217583318875096,62.625,0.006998537652628282,2.513680625,0.909487,0.786562581,79.431857,363941,231560,127562,228454,3106,77808,2.287974,25.243932,0.346372,1.410374,4.574525,1.717626,13.80882,13.570088,58.082238,"Muy bajo",1900606571,1196613296,120218453,243036607,75297071,16968552,111808804,136663788,0,1900606571,347554270,0,216372291,537513,93695223,594056611,469322476,179068187,0,0,0,0,46.3036312645687,13.8297872340425,11.7060937266057,566045.913,10.35,3416122,0.1656983892846918
"Baja California","Mexicali",2002,2018,1049792,3888.713136,0.374091,3.327783,"0.157252",4.072952,1,3888.713136,"143.384703","3.6872000000000002E-2",3,10.53,0.5227549838444187,62.625,0.007571976162897031,2.513680625,0.929886,0.786562581,69.895625,854633,548784,311290,540835,7949,190666,1.618303,21.501444,0.155113,0.396584,0.676314,1.226287,12.588088,11.394543,59.384989,"Muy bajo",4082339940,2471937935,254523530,389443026,172038302,62785164,268841831,150524114,0,4082339940,896200602,0,374141768,72919802,178321420,1693599255,852233790,0,312186482,59556,14923303,0,45.7294555885198,15.0537634408602,16.3362583498055,566045.913,10.35,3416122,0.1656983892846918
"Baja California","Tijuana",2004,2018,1922523,3796.127266,0.354194,9.046001,"0.146893",10.203629,1,3796.127266,"143.01193900000001","3.7672999999999998E-2",3,10.18,0.5468943674536013,62.625,0.00673958126898872,2.513680625,0.926055,0.786562581,74.592469,1426523,1051417,501232,1038460,12957,481326,1.46975,24.583879,0.1561,0.184237,1.159385,2.147023,14.972565,1.704115,59.140287,"Muy bajo",7298141980,3725957149,751624481,837515515,398688228,141946252,664200745,274943742,0,7298141980,1716897380,0,493759774,56574970,317127951,3032353160,1679732166,0,502777923,487945,1696579,0,57.3110763005639,7.49542961608775,14.5512513049121,566045.913,10.35,3416122,0.1656983892846918
"Baja California Sur","La Paz",3003,2018,292241,4681.075195,0.287106,0.843108,"0.14055300000000001",0.987722,0.945832,4681.075195,"94.495330999999993","2.0187E-2",3,11.07,0.5298024575607119,67.575,0.008777002542422179,3.78252237,0.937219,0.7899873,48.345112,249591,154830,84914,152265,2565,41161,1.783446,19.888742,0.436283,1.077344,2.36889,2.106201,11.964861,9.818609,59.853253,"Muy bajo",1368002096,747026079,113949389,219653015,64868940,0,194889263,27615410,0,1368002096,281225577,0,76145449,3935667,10180279,376300656,546112105,74102363,0,0,0,0,43.315032203921,9.61538461538461,13.8289859973255,173200.59399999998,11.07,292241,0.5926635687668739
"Campeche","Campeche",4002,2018,294077,5078.276863,0.295084,24.416119,"4.8429E-2",23.352904,0.987375,5078.276863,"676.81038000000001","0.13327600000000001",3,10.72,0.5081730295126786,60.925,0.007946898261339716,3.26537189,0.918232,0.655032384,67.749146,236338,149442,89926,147105,2337,57005,3.308902,22.971498,0.716927,0.340677,0.655017,0.980697,24.155493,9.925292,58.640701,"Muy bajo",1493404425,536332006,88990534,368848744,235075266,2313202,62810307,199034366,0,1493404425,98596258,0,253648311,74494612,8377437,612832344,426601734,18853729,0,0,0,0,29.4649704278765,10.9612141652613,13.0114269427098,529465.695,10.49,542922,0.9752150308884148
"Campeche","Carmen",4003,2018,248845,6827.994724,0.184599,7.140147,"5.3045000000000002E-2",6.286493,0.845592,6827.994724,"1435.1299120000001","0.21018300000000001",3,10.26,0.5035142357692539,60.925,0.010420141051658663,3.26537189,0.909688,0.655032384,55.028952,187057,125297,70830,122704,2593,57600,3.928864,26.493564,0.666552,0.663278,5.758929,2.418576,27.367546,14.859451,58.095083,"Muy bajo",1699112347,647436580,73598413,310432523,89767348,9472520,159110089,357124903,0,1699112347,99093264,0,116307284,6976364,42846011,695379615,476152814,262356995,52169971,0,0,0,34.9372660271408,12.0967741935483,12.4034060146675,529465.695,10.49,542922,0.9752150308884148
"Coahuila de Zaragoza","Acuña",5002,2018,163058,3404.279496,0.322308,1.313123,"0.14192199999999999",1.43815,0.952114,3404.279496,"96.211838999999998","2.8261999999999999E-2",3,9.4,0.508346723251849,61.050000000000004,0.007451336334310491,4.1418587225,0.915742,0.829436152,87.167368,131001,82890,42887,81675,1215,31769,1.684883,27.118247,0.169818,0.316255,0.590671,0.896511,18.769361,1.737419,58.481712,"Muy bajo",555095006,248318820,46482793,94149790,92899584,14252038,43303871,15688110,0,555095006,80476038,43550,79579363,2115796,6687578,207372998,147764437,26581165,0,0,4474081,0,26.8694966487054,17.4603174603174,8.95033952384848,608138.802,10.26125,2501131,0.24314552176595308
"Coahuila de Zaragoza","Frontera",5010,2018,82409,3294.719108,0.27603,3.823996,"0.215556",3.627334,1,3294.719108,"66.426094000000006","2.0160999999999998E-2",2,10,0.4370032399373855,61.050000000000004,0.01408826705820966,4.1418587225,0.940836,0.829436152,50.310298,69234,36013,28388,34852,1161,13095,1.500982,21.339072,0.130126,0.154449,0.383081,0.322275,17.841221,8.696866,60.084271,"Muy bajo",271514507,99778012,24774226,61906815,11859804,8857312,45606789,5474108,0,271514507,60090475,0,13951560,370602,533643,112071407,84496820,0,5809452,7447989,0,0,62.765148772895,10.8108108108108,12.2948373619814,608138.802,10.26125,2501131,0.24314552176595308
