"nom_ent","nom_mun","mun_inegi","anio","pobtot","cs_revenue_perCapita","cs_total_general_fund","cs_intergov_revs_total_revs","cs_propety_tax_total_revs","bs_operating_exp","bs_operating_balance","bs_expenditure_perCapita","lrs_direct_long_term_debt_pobtot","lrs_debt_service_total_rev","mun_tipo","graproes","pea","pe_inac","pocupada","pdesocup","psinder","pder_ss","analf","sbasc","ovsde","ovsee","ovsae","ovpt","vhac","pl.5000","po2sm","im_2020","gm_2020","imn_2020","egresos_total_de_egresos","egresos_servicios_personales","egresos_materiales_y_suministros","egresos_servicios_generales","egresos_transferencias_asignaciones_subsidios_y_otras_ayudas","egresos_bienes_muebles_inmuebles_e_intangibles","egresos_inversion_publica","egresos_deuda_publica","ingresos_total_de_ingresos","ingresos_impuestos","ingresos_contribuciones_de_mejoras","ingresos_derechos","ingresos_productos","ingresos_aprovechamientos","ingresos_participaciones_federales","ingresos_aportaciones_federales_y_estatales","ingresos_financiamiento","egresos_disponibilidad_final","egresos_otros_egresos","ingresos_otros_ingresos","ingresos_disponibilidad_inicial","egresos_inversiones_financieras_y_otras_provisiones","prop_corrup_per17","prop_corrup_inc17","prop_corrup5_inc17","prop_corrup_per19","prop_corrup_inc19","prop_corrup5_inc19","prop_corrup_per21","prop_corrup_inc21","prop_corrup5_inc21"
"Aguascalientes","Aguascalientes","01001",2018,948990,3845.651965,0.332662,0.606587,0.121541,0.713073,0.908965,3845.651965,152.152763,0.039565,"metropolitano",10.84,486675,269195,476502,10173,173199,774363,1.644738,20.36722,0.104799,0.113169,0.37861,0.591434,10.33953,7.523683,54.226594,60.318795,"Muy bajo",0.944508,3649485258,1455455379,532953306,613938938,465509619,107139827,330096738,144391451,3649485258,496346733,269594,516245151,47374417,43289419,1456394680,757334499,332230765,0,0,0,0,0,34.7108358167965,12.99000768639508,14.104639211751463,NA,NA,NA,NA,NA,NA
"Aguascalientes","Asientos","01002",2018,51536,3608.715888,0.063044,0.337801,0.021163,0.218249,0.985615,3608.715888,NA,NA,"urbano",8.54,21440,16864,21014,426,7590,43922,3.526405,33.906364,2.650373,0.486448,0.85816,1.35243,22.942305,78.221049,78.565471,56.546071,"Muy bajo",0.885433,185978782,72722820,13183314,25057644,17399099,1834235,55781670,0,185978782,5278647,0,4778341,6500,1492616,90577240,81170093,2675345,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aguascalientes","Calvillo","01003",2018,58250,6231.560086,0.115889,2.429067,0.031448,1.500763,0.963271,6231.560086,167.279845,0.026844,"urbano",8.05,25976,18638,25597,379,11832,46370,4.491509,42.48245,0.365177,0.51676,0.800978,1.040411,19.219858,51.301288,79.259777,57.058251,"Muy bajo",0.893453,362988375,114126742,27261495,49606060,30773574,11737644,119738809,9744051,362988375,15075791,0,21286271,1701243,2458015,133552482,175582370,13332203,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aguascalientes","Cosío","01004",2018,17000,7270.570529,0.047614,0.027078,0.009705,0.017147,0.939077,7270.570529,NA,NA,"transición_rural-urbano",9.08,7010,5774,6883,127,2347,14651,3.144867,27.696745,0.712855,0.577354,0.659833,1.030989,22.716866,65.470588,81.726369,57.11403,"Muy bajo",0.894326,123599699,51861429,8376757,9761376,14311150,592002,38696985,0,123599699,1213359,0,3449945,27714,835524,76220426,34322726,7530005,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aguascalientes","Jesús María","01005",2018,129929,3913.122729,0.351805,0.481168,0.198061,0.593563,0.920557,3913.122729,128.431174,0.032821,"urbano",10.22,65839,33247,64945,894,27299,102428,2.380588,26.692477,0.277034,0.354957,0.860426,1.312652,16.404575,37.164143,56.748753,59.011762,"Muy bajo",0.924042,508428123,247479439,39824314,86941817,53500099,31639674,32355846,16686934,508428123,106467640,380344,56691574,101656,1016432,179595981,123783483,40391013,0,0,0,0,0,46.72407563531254,4.166666666666666,7.569346497414198,NA,NA,NA,NA,NA,NA
"Aguascalientes","Pabellón de Arteaga","01006",2018,47646,5513.837762,0.080416,0.872359,0.021323,0.533068,0.96259,5513.837762,NA,NA,"urbano",9.77,22097,14084,21673,424,8858,38733,2.732339,25.72428,0.541338,0.425487,1.04476,0.705635,19.075954,32.764555,64.335011,58.624768,"Muy bajo",0.917982,262712314,87857375,14055399,40189267,21787267,4004319,94818687,0,262712314,7044238,0,11518189,80565,1692925,101858665,130689622,9828110,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aguascalientes","Rincón de Romos","01007",2018,57369,4502.9525,0.124016,0.501919,0.041294,0.319306,1,4502.9525,36.721313,0.008155,"urbano",9.6,26694,16125,26254,440,11395,45805,3.445917,27.094343,0.96587,0.501341,1.027223,1.302663,20.975502,44.285241,76.643972,57.646671,"Muy bajo",0.902667,258329882,86418195,17000732,40541843,21720952,4680816,73232503,2106665,258329882,12461354,130705,14334628,740769,4369504,116663126,109629796,0,12628176,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aguascalientes","San José de Gracia","01008",2018,9552,15241.082601,0.037811,1.149172,0.007633,0.761345,0.94848,15241.082601,NA,NA,"rural",9.24,3834,3220,3768,66,1249,8300,2.439773,28.41994,2.107139,0.922529,1.708775,0.859629,21.57275,41.300251,75.410936,57.527531,"Muy bajo",0.900801,145582821,52669855,11559547,23793305,8912018,417868,48230228,0,145582821,1130726,0,3360091,14875,715305,105499209,27362132,7500483,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aguascalientes","Tepezalá","01009",2018,22485,5659.987992,0.084471,2.471498,0.019419,1.49887,1,5659.987992,8.548899,0.00151,"transición_rural-urbano",8.56,9185,7653,8902,283,3358,19068,4.235219,35.086278,1.385042,0.585292,1.085694,1.42972,22.985739,76.762286,76.943557,56.604314,"Muy bajo",0.886345,127264830,43256342,8526449,18878943,16631545,1975355,28581549,192222,127264830,2734127,0,7456152,28200,531725,74829460,41685166,0,9222425,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aguascalientes","El Llano","01010",2018,20853,7243.061286,0.113995,1.274896,0.015915,0.798531,1,7243.061286,NA,NA,"transición_rural-urbano",8.49,8668,7150,8519,149,4387,16292,3.898421,34.757713,2.321131,1.030523,1.781333,1.452547,21.816786,69.754951,76.336092,56.555794,"Muy bajo",0.885585,151039557,46377263,16009271,21432754,10126715,2951731,50268283,0,151039557,2945901,234536,11815064,464892,1757422,78202087,55619655,0,3873540,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
