mun_inegi,nom_ent,nom_mun,prop_corrup,tema,corrup,tema_total_de_ingresos,capitulo_impuestos,concepto_impuestos_sobre_el_patrimonio,partida_generica_impuesto_predial,partida_generica_adquisicion_de_bienes_inmuebles,concepto_impuesto_sobre_la_produccion_el_consumo_y_las_transacciones,partida_generica_diversiones_y_espectaculos_publicos,concepto_accesorios,concepto_otros_impuestos,capitulo_contribuciones_de_mejoras,concepto_contribucion_de_mejoras_por_obras_publicas,capitulo_derechos,concepto_derechos_por_el_uso_goce_aprovechamiento_o_explotacion_de_bienes_de_dominio_publico,partida_generica_certificaciones_y_constancias,subpartida_generica_certificaciones_y_constancias_diversas,partida_generica_licencias_y_permisos,subpartida_generica_licencias_de_funcionamiento,partida_generica_inspecciones,subpartida_generica_sanidad,partida_generica_uso_y_suministro_de_agua_potable,partida_generica_servicios_de_desarrollo_urbano_y_obras_publicas,subpartida_generica_urbanizacion,partida_generica_diversos_derechos_por_el_uso_goce_aprovechamiento_o_explotacion_de_bienes_de_dominio_publico,concepto_derechos_por_prestacion_de_servicios,partida_generica_panteones,partida_generica_rastros,partida_generica_estacionamientos,partida_generica_seguridad_publica,partida_generica_alumbrado_publico,partida_generica_servicios_de_limpia_y_recoleccion_de_basura,partida_generica_diversos_derechos_por_prestacion_de_servicios,capitulo_productos,concepto_productos_de_tipo_corriente,partida_generica_intereses,concepto_otros_productos,capitulo_aprovechamientos,concepto_aprovechamientos_de_tipo_corriente,partida_generica_recargos,partida_generica_multas,partida_generica_donaciones_y_aprovechamientos_a_favor_del_estado,partida_generica_indemnizaciones_a_favor_del_estado,partida_generica_gastos_de_ejecucion,concepto_otros_aprovechamientos,capitulo_participaciones_federales,concepto_fondos_participables,partida_generica_fondo_general_de_participaciones,partida_generica_fondo_de_fomento_municipal,partida_generica_fondo_de_fiscalizacion,partida_generica_fondo_del_impuesto_sobre_la_renta,concepto_impuestos_participables,partida_generica_impuesto_sobre_automoviles_nuevos,partida_generica_impuesto_especial_sobre_produccion_y_servicios,partida_generica_ieps_gasolinas,concepto_otras_participaciones,partida_generica_participaciones_diversas,concepto_participaciones_estatales,capitulo_aportaciones_federales_y_estatales,concepto_aportaciones_del_ramo_general_33,partida_generica_aportaciones_a_municipios,subpartida_generica_fa_para_la_infraestructura_social_municipal,subpartida_generica_fa_para_el_fortalecimiento_de_los_municipios,concepto_recursos_federales_y_estatales_reasignados,partida_generica_recursos_federales,subpartida_generica_seguridad_publica,subpartida_generica_diversos_recursos_federales_reasignados,capitulo_financiamiento,concepto_deficit,subpartida_generica_comercio_ambulante,subpartida_generica_licencias_y_permisos_diversos,subpartida_generica_por_servicios_de_fraccionamiento,subpartida_generica_diversos_servicios_de_desarrollo_y_obras_publicas,partida_generica_mercados,concepto_otros_derechos,partida_generica_establecimientos_y_empresas,subpartida_generica_establecimientos_diversos,concepto_productos_de_tipo_capital,partida_generica_enajenacion_o_venta_de_bienes,subpartida_generica_bienes_muebles_e_inmuebles,concepto_adicionales,partida_generica_para_educacion,partida_generica_impuestos_adicionales_diversos,partida_generica_registros,subpartida_generica_registro_civil,subpartida_generica_educacion_publica,subpartida_generica_salud,subpartida_generica_comercio_nocivo,partida_generica_servicios_de_vialidad_y_transporte,subpartida_generica_control_vehicular,subpartida_generica_diversos_servicios_de_vialidad_y_de_transporte,partida_generica_reintegros,concepto_emprestitos,partida_generica_emprestitos_diversos,capitulo_otros_ingresos,concepto_otros_ingresos_extraordinarios,partida_generica_loterias_rifas_sorteos_y_juegos_permitidos,partida_generica_otros_impuestos_sobre_la_produccion_el_consumo_y_las_transacciones,partida_generica_para_obras_de_infraestructura_urbana,subpartida_generica_ecologia_e_impacto_ambiental,partida_generica_rezagos,partida_generica_recursos_estatales,subpartida_generica_diversos_recursos_estatales_reasignados,subpartida_generica_licencias_para_construccion,partida_generica_arrendamientos,partida_generica_de_instituciones_bancarias,subpartida_generica_bancos_comerciales,concepto_impuesto_sobre_los_ingresos,partida_generica_ejercicio_de_profesiones_y_honorarios,partida_generica_enajenacion_de_bienes_muebles_y_adquisicion_de_vehiculos,subpartida_generica_banos_publicos,subpartida_generica_expedicion_de_licencias_de_manejo,subpartida_generica_panteones,subpartida_generica_centros_recreativos_y_culturales,partida_generica_actividades_mercantiles,partida_generica_traslado_de_dominio_de_bienes_inmuebles,subpartida_generica_registro_publico_de_la_propiedad_y_del_comercio,partida_generica_diversos_aprovechamientos_de_tipo_corriente,subpartida_generica_registros_diversos,subpartida_generica_talleres_graficos,partida_generica_derechos_zona_federal_maritima,partida_generica_otros_impuestos_sobre_el_patrimonio,subpartida_generica_bienes_muebles,subpartida_generica_bienes_inmuebles,subpartida_generica_educacion,subpartida_generica_asistencia_social,subpartida_generica_inspecciones_diversas,subpartida_generica_mercados,subpartida_generica_obra_publica,partida_generica_explotacion_de_minas,partida_generica_otros_impuestos_sobre_ingresos,partida_generica_anuncios_publicitarios,subpartida_generica_servicios_de_grua_y_almacenaje_de_vehiculos,subpartida_generica_rastros,subpartida_generica_concesiones_para_prestar_servicios_de_transporte,partida_generica_para_fomento_al_turismo
01001,Aguascalientes,Aguascalientes,1.6477453969283222,ingresos,0,3574114293,531295259,484997118,253611141,231385977,8443337,8443337,19291395,23028104,135340,135340,640793344,310619743,5658847,5658847,97047694,97047694,1258117,1258117,106594294,82768982,82768982,17291809,325708906,8960939,17569439,5756896,25814584,226055624,29776964,11774460,5570778,2444393,2444393,3126385,42059037,34002781,2014848,28324407,116703,3263779,283044,8056256,1493830278,1420681527,901854448,399651743,45463922,73711414,68464290,19674079,24099825,24690386,3316224,3316224,1368237,774585855,741309043,741309043,145882879,595426164,33276812,33276812,33076812,200000,85844402,85844402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01005,Aguascalientes,Jesús María,2.5376042738598295,ingresos,1,493812771,111248243,105320682,50934508,54386174,247195,247195,5680366,0,246385,246385,54634723,32445727,5497693,5497693,23812667,0,0,0,0,3135367,27320,0,20250046,989410,7732200,0,257549,8676327,418157,22566,2514085,594500,592239,1764,3135603,3135603,0,2700546,115950,319107,0,0,202849402,185230256,102278656,35870647,6077727,41003226,14313586,3192233,4977566,6143787,0,0,3305560,119184330,108637142,108637142,26907656,81729486,10547188,10547188,7227593,3319595,0,0,138470,23674197,3061584,46463,2153837,1938950,2261,2261,1917821,1917821,1917821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02001,Baja California,Ensenada,2.390708950059348,ingresos,1,1814263622,375957159,214143001,118986041,95156960,11475255,11475255,57824634,7957552,0,0,237359543,102295682,3997979,3152304,44354120,0,0,0,0,31680409,0,0,134413260,0,1336297,14978124,0,108707096,0,9391743,5385153,0,0,5385153,51052491,47013104,0,40617038,2150367,404417,129040,4039387,591814205,530804939,437472993,61646882,29676532,2008532,40418595,10823727,9106473,20488395,20575732,20575732,14939,551770640,518246035,518246035,163043343,355202692,33524605,33524605,33524605,0,924431,0,0,0,29051596,2628813,0,130702,0,0,0,0,0,85076616,51713626,33362990,16082588,16082588,64460,781215,44354120,6180586,221930,5958656,3712242,924431,924431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02002,Baja California,Mexicali,0.5381929903036157,ingresos,0,4266459493,936058590,535293783,338466392,196827391,0,0,21890531,380046825,0,0,484640503,0,0,0,0,0,0,0,0,0,0,0,483467954,0,0,0,0,0,0,483467954,42277257,0,0,42277257,156424139,94215059,0,85800674,2251400,0,0,62209080,1370315434,1240716781,849154664,148750052,56039654,186772411,88773274,25632201,19006823,44134250,40516157,40516157,309222,1270516973,860840185,860840185,139323189,721516996,409676788,409676788,28613056,381063732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6162985,0,0,6226597,6226597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02004,Baja California,Tijuana,0.5406403314833362,ingresos,0,7668709706,2011323440,1118274849,634021776,484253073,41559680,0,33771495,0,0,0,537315285,333846398,61118580,40482204,198931947,40392948,325422,325422,0,31569026,1907177,0,166756303,9103090,0,6535035,0,0,0,143310436,50323219,6816048,6816048,43507171,199445086,189755374,0,110673331,71784692,0,0,9689712,2541265101,2412501706,1691042566,283004949,106606815,331847376,128710433,36605805,34402710,57701918,0,0,52962,2325766342,1420295251,1420295251,221994699,1198300552,905471091,678060328,38120868,639939460,0,0,60495745,72279929,5355961,24305888,7807742,29254106,0,0,0,0,0,825175894,337191766,98141291,36338534,36338534,0,12053825,25763325,5562889,0,5562889,7280262,0,0,3271233,3271233,34342696,7216984,389842837,8582551,17089,227410763,227410763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03003,Baja California Sur,La Paz,1.4892043559589925,ingresos,0,1590499559,322094049,202679686,202679686,0,624376,583737,0,90725844,0,0,95047053,50151263,1010166,1010166,49141097,0,0,0,0,0,0,0,34140435,4215934,1619582,0,0,0,0,28304919,2829005,1324065,0,54074,10950621,8934820,24692,7902682,1007446,0,0,2015801,597748127,364696949,284486778,53455488,11371831,15382852,50830825,17091169,8614559,25125097,16876336,16876336,165344017,356272638,299083696,299083696,86236640,212847056,57188942,54491807,38524731,15967076,181651856,121651856,0,0,0,0,0,10755355,0,0,1450866,1450866,1450866,28064143,0,0,0,0,0,0,30216602,0,0,0,0,60000000,0,23906210,23906210,40639,0,28064143,0,0,2697135,2697135,18924495,1324065,60000000,60000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04002,Campeche,Campeche,1.4564624228456382,ingresos,0,1650119669,106001123,74579479,69768286,0,27708247,779330,5241895,0,0,0,259227688,176401331,9140613,9140613,37094637,0,0,0,114286923,1342821,79928,5726699,75954159,612990,1895160,0,0,31126880,38998529,0,15310541,13770553,8581738,1539988,15323761,13407662,0,1777432,9914399,72537,0,1916099,681212532,493046477,332194281,94467584,10535448,55849164,21314153,2989429,3634023,14690701,166851902,166851902,0,504044024,274205000,274205000,75507000,198698000,229839024,211466024,0,211466024,69000000,0,729892,30723343,1042248,220645,3320600,5310366,5188815,1529304,0,0,0,0,0,0,0,0,0,0,0,8809638,0,8809638,1643294,69000000,69000000,0,0,0,26928917,0,0,0,18373000,18373000,5641402,0,0,0,33334,33334,4811193,3659511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04003,Campeche,Carmen,0.7380624263003112,ingresos,0,1747728021,110959683,102465984,85198117,0,17760,17760,5940123,0,0,0,135210295,78362800,27883749,25426326,35949415,0,0,0,0,1250132,0,0,55032622,0,67667,0,0,53145190,283350,1239445,9580904,6617917,3453782,2962987,56254141,23415779,210690,9905539,12879403,146514,273633,32838362,717380783,519415520,306464782,75274871,10120668,127555199,18543589,2757220,3291452,12494917,179421674,179421674,0,636085256,285848000,285848000,111526000,174322000,350237256,263507256,0,263507256,81572059,81572059,18861725,8933955,284633,965499,296970,1814873,1973344,1040717,0,0,0,2535816,0,2535816,0,0,0,0,0,13279504,0,2581743,0,0,0,684900,684900,0,0,0,2457423,0,86730000,86730000,8153735,1190791,0,0,0,0,17267867,0,10697761,301617,631010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05002,Coahuila de Zaragoza,Acuña,0,ingresos,0,602008103,92072060,0,0,0,0,0,0,92072060,61720,61720,80511324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5999949,0,0,5999949,8162555,0,0,0,0,0,0,8162555,236954078,218181855,136808856,27682608,4627764,49062627,14131728,3959316,4265676,5906736,4640495,4640495,0,155947624,130578155,130578155,28533166,102044989,25369469,25369469,0,25369469,22298793,22298793,0,0,0,0,0,80511324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05010,Coahuila de Zaragoza,Frontera,0,ingresos,0,264593807,41438118,39573615,22797754,16775861,1120572,81716,743931,0,0,0,15167503,9819541,16332,16332,9661270,0,0,0,0,141939,0,0,300328,300328,0,0,0,0,0,0,205481,205481,205481,0,1177550,1177550,0,1177550,0,0,0,0,131320820,116750945,86768796,15908268,3244500,10829381,8795052,2511132,2705436,3578484,5774823,5774823,0,72671271,70431117,70431117,14516216,55914901,2240154,2240154,0,2240154,2613064,2613064,314875,3558965,141939,0,0,5047634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5787430,0,0,0,0,0,0,0,0,0,0,1038856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
