mun_inegi,nom_ent,nom_mun,prop_corrup,tema,pobtot,graproes,tema_total_de_ingresos,capitulo_impuestos,concepto_impuestos_sobre_el_patrimonio,partida_generica_impuesto_predial,partida_generica_adquisicion_de_bienes_inmuebles,concepto_impuesto_sobre_la_produccion_el_consumo_y_las_transacciones,partida_generica_diversiones_y_espectaculos_publicos,concepto_accesorios,concepto_otros_impuestos,capitulo_contribuciones_de_mejoras,concepto_contribucion_de_mejoras_por_obras_publicas,capitulo_derechos,concepto_derechos_por_el_uso_goce_aprovechamiento_o_explotacion_de_bienes_de_dominio_publico,partida_generica_certificaciones_y_constancias,subpartida_generica_certificaciones_y_constancias_diversas,partida_generica_licencias_y_permisos,subpartida_generica_licencias_de_funcionamiento,partida_generica_inspecciones,subpartida_generica_sanidad,partida_generica_uso_y_suministro_de_agua_potable,partida_generica_servicios_de_desarrollo_urbano_y_obras_publicas,subpartida_generica_urbanizacion,partida_generica_diversos_derechos_por_el_uso_goce_aprovechamiento_o_explotacion_de_bienes_de_dominio_publico,concepto_derechos_por_prestacion_de_servicios,partida_generica_panteones,partida_generica_rastros,partida_generica_estacionamientos,partida_generica_seguridad_publica,partida_generica_alumbrado_publico,partida_generica_servicios_de_limpia_y_recoleccion_de_basura,partida_generica_diversos_derechos_por_prestacion_de_servicios,capitulo_productos,concepto_productos_de_tipo_corriente,partida_generica_intereses,concepto_otros_productos,capitulo_aprovechamientos,concepto_aprovechamientos_de_tipo_corriente,partida_generica_recargos,partida_generica_multas,partida_generica_donaciones_y_aprovechamientos_a_favor_del_estado,partida_generica_indemnizaciones_a_favor_del_estado,partida_generica_gastos_de_ejecucion,concepto_otros_aprovechamientos,capitulo_participaciones_federales,concepto_fondos_participables,partida_generica_fondo_general_de_participaciones,partida_generica_fondo_de_fomento_municipal,partida_generica_fondo_de_fiscalizacion,partida_generica_fondo_del_impuesto_sobre_la_renta,concepto_impuestos_participables,partida_generica_impuesto_sobre_automoviles_nuevos,partida_generica_impuesto_especial_sobre_produccion_y_servicios,partida_generica_ieps_gasolinas,concepto_otras_participaciones,partida_generica_participaciones_diversas,concepto_participaciones_estatales,capitulo_aportaciones_federales_y_estatales,concepto_aportaciones_del_ramo_general_33,partida_generica_aportaciones_a_municipios,subpartida_generica_fa_para_la_infraestructura_social_municipal,subpartida_generica_fa_para_el_fortalecimiento_de_los_municipios,concepto_recursos_federales_y_estatales_reasignados,partida_generica_recursos_federales,subpartida_generica_seguridad_publica,subpartida_generica_diversos_recursos_federales_reasignados,capitulo_financiamiento,concepto_deficit,subpartida_generica_comercio_ambulante,subpartida_generica_licencias_y_permisos_diversos,subpartida_generica_por_servicios_de_fraccionamiento,subpartida_generica_diversos_servicios_de_desarrollo_y_obras_publicas,partida_generica_mercados,concepto_otros_derechos,partida_generica_establecimientos_y_empresas,subpartida_generica_establecimientos_diversos,concepto_productos_de_tipo_capital,partida_generica_enajenacion_o_venta_de_bienes,subpartida_generica_bienes_muebles_e_inmuebles,concepto_adicionales,partida_generica_para_educacion,partida_generica_impuestos_adicionales_diversos,partida_generica_registros,subpartida_generica_registro_civil,subpartida_generica_educacion_publica,subpartida_generica_salud,subpartida_generica_comercio_nocivo,partida_generica_servicios_de_vialidad_y_transporte,subpartida_generica_control_vehicular,subpartida_generica_diversos_servicios_de_vialidad_y_de_transporte,partida_generica_reintegros,concepto_emprestitos,partida_generica_emprestitos_diversos,capitulo_otros_ingresos,concepto_otros_ingresos_extraordinarios,partida_generica_loterias_rifas_sorteos_y_juegos_permitidos,partida_generica_otros_impuestos_sobre_la_produccion_el_consumo_y_las_transacciones,partida_generica_para_obras_de_infraestructura_urbana,subpartida_generica_ecologia_e_impacto_ambiental,partida_generica_rezagos,partida_generica_recursos_estatales,subpartida_generica_diversos_recursos_estatales_reasignados,subpartida_generica_licencias_para_construccion,partida_generica_arrendamientos,partida_generica_de_instituciones_bancarias,subpartida_generica_bancos_comerciales,concepto_impuesto_sobre_los_ingresos,partida_generica_ejercicio_de_profesiones_y_honorarios,partida_generica_enajenacion_de_bienes_muebles_y_adquisicion_de_vehiculos,subpartida_generica_banos_publicos,subpartida_generica_expedicion_de_licencias_de_manejo,subpartida_generica_panteones,subpartida_generica_centros_recreativos_y_culturales,partida_generica_actividades_mercantiles,partida_generica_traslado_de_dominio_de_bienes_inmuebles,subpartida_generica_registro_publico_de_la_propiedad_y_del_comercio,partida_generica_diversos_aprovechamientos_de_tipo_corriente,subpartida_generica_registros_diversos,subpartida_generica_talleres_graficos,partida_generica_derechos_zona_federal_maritima,partida_generica_otros_impuestos_sobre_el_patrimonio,subpartida_generica_bienes_muebles,subpartida_generica_bienes_inmuebles,subpartida_generica_educacion,subpartida_generica_asistencia_social,subpartida_generica_inspecciones_diversas,subpartida_generica_mercados,subpartida_generica_obra_publica,partida_generica_explotacion_de_minas,partida_generica_otros_impuestos_sobre_ingresos,partida_generica_anuncios_publicitarios,subpartida_generica_servicios_de_grua_y_almacenaje_de_vehiculos,subpartida_generica_rastros,subpartida_generica_concesiones_para_prestar_servicios_de_transporte,partida_generica_para_fomento_al_turismo
01001,Aguascalientes,Aguascalientes,1.6477453969283222,ingresos,948990,10.84,7343.944712590538,1091.6838937689424,996.552356295269,521.1098597626753,475.4424965325936,17.349025530384754,17.349025530384754,39.639173986746805,47.317211691580624,0.2780911285765655,0.2780911285765655,1316.6761062310577,638.2488169723122,11.627568706015309,11.627568706015309,199.40965531412132,199.40965531412132,2.5851276519237683,2.5851276519237683,219.0256207941645,170.07033852160066,170.07033852160066,35.53050598448657,669.2534155237067,18.412573072378898,36.100968819027074,11.829035804181435,53.042757487029334,464.489903940001,61.184494786048184,24.193681615040838,11.446608106025582,5.022639338367494,5.022639338367494,6.423968767658088,86.42119895207274,69.86753172034726,4.14002773925104,58.19983972877177,0.23979657882570504,6.70628037191144,0.5815873015873015,16.553667231725484,3069.4617105871475,2919.158631530282,1853.0938470231674,821.1881502029075,93.41741819489393,151.4592161093132,140.67763908152259,40.4254975086043,49.519340422253045,50.73280115066523,6.8140422253043615,6.8140422253043615,2.8113977500385268,1591.5875173370318,1523.2116771973083,1523.2116771973083,299.75420763343095,1223.4574695638773,68.37584013972364,68.37584013972364,67.96488827246108,0.4109518672625469,176.38958647968357,176.38958647968357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01005,Aguascalientes,Jesús María,2.5376042738598295,ingresos,129929,10.22,7500.307887422348,1689.701286471544,1599.6701347225808,773.6221388538708,826.04799586871,3.7545375841066844,3.7545375841066844,86.2766141648567,0,3.742234845608226,3.742234845608226,829.823098771245,492.8040674979875,83.50207323926548,83.50207323926548,361.6802654961345,0,0,0,0,47.62172876258752,0.4149516244171388,0,307.5691611354972,15.02771913303665,117.44103039232066,0,3.9117999969622868,131.7809656890293,6.351205212715867,0.34274518142742144,38.18534607147739,9.029602515226538,8.995261167393187,0.026792630507753764,47.62531326417473,47.62531326417473,0,41.01742128525646,1.7611142332052432,4.846777745713028,0,0,3080.9915399687115,2813.381977247528,1553.466121903431,544.8236911253208,92.31195795804918,622.7802062607269,217.4028463372773,48.48544175944349,75.60208994668814,93.31531463114567,0,0,50.2067163839062,1810.2390680295873,1650.0424064764045,1650.0424064764045,408.68871033885694,1241.3536961375476,160.19666155318276,160.19666155318276,109.7767736448002,50.41988790838257,0,0,2.1031607405944803,359.57710475554,46.50107079390635,0.705706344264038,32.71369553000501,29.449870137760293,0.034341347833351056,0.034341347833351056,29.1289509257431,29.1289509257431,29.1289509257431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02001,Baja California,Ensenada,2.390708950059348,ingresos,443807,10.34,7834.961228191398,1623.584207116946,924.7840775608913,513.8454007600621,410.93867680082917,49.55629210571774,49.55629210571774,249.71771463119708,34.36496804283987,0,0,1025.0455303161168,441.76749870443945,17.265412851960615,13.613335636552081,191.54482639488685,0,0,0,0,136.8129599239938,0,0,580.468388322681,0,5.770845569182933,64.68355501813785,0,469.45541544308173,0,40.55857229227846,23.255972534116427,0,0,23.255972534116427,220.471977025393,203.02774226982208,0,175.40610640870617,9.286435481084816,1.7464890309207117,0.5572637761271376,17.44423475557091,2555.7704482639488,2292.2997883917774,1889.2424987044394,266.22422698220765,128.1591466574538,8.673916047676627,174.54912333736397,46.742645534634654,39.326623769217484,88.47985403351183,88.85702193815858,88.85702193815858,0.06451459664881672,2382.8409051649683,2238.063719986181,2238.063719986181,704.1084081879427,1533.955311798238,144.77718517878736,144.77718517878736,144.77718517878736,0,3.992187769908447,0,0,0,125.46033857315598,11.352621350837795,0,0.5644411815512178,0,0,0,0,0,367.40635688374505,223.32711176368974,144.07924512005528,69.45322162722404,69.45322162722404,0.27837277595439625,3.373704439454137,191.54482639488685,26.691077906374158,0.9584125064778027,25.732665399896355,16.031447572983243,3.992187769908447,3.992187769908447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02002,Baja California,Mexicali,0.5381929903036157,ingresos,1049792,10.53,7774.387542275285,1705.6958475465758,975.4179841249016,616.7570337327619,358.66095039213974,0,0,39.88915675384122,692.5253378378378,0,0,883.1170424064842,0,0,0,0,0,0,0,0,0,0,0,880.9804112364792,0,0,0,0,0,0,880.9804112364792,77.0380641563894,0,0,77.0380641563894,285.037717936383,171.67967542785505,0,156.3468942243214,4.10252485495204,0,0,113.35804250852794,2497.0032544680603,2260.847220400012,1547.3385958774309,271.0539155660515,102.1160493017289,340.33865965480044,161.76359733519928,46.70726734015569,34.634433584069505,80.42189641097409,73.82896913904196,73.82896913904196,0.5634675938073996,2315.1494449546635,1568.6320756436048,1568.6320756436048,253.87618625907461,1314.75588938453,746.5173693110586,746.5173693110586,52.139012799206974,694.3783565118516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.230256348581591,0,0,11.34617080672906,11.34617080672906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02004,Baja California,Tijuana,0.5406403314833362,ingresos,1922523,10.18,7293.690044958375,1912.9645421369446,1063.5883279421962,603.0164777628667,460.57185017932943,39.52730458039008,0,32.119981891105056,0,0,0,511.03918331166415,317.5204490701596,58.12972398201665,38.50251993262426,189.20366229573995,38.41762878096892,0.30950802583561043,0.30950802583561043,0,30.025219299288484,1.8139111313589185,0,158.60149017944354,8.657925447277341,0,6.215454952697169,0,0,0,136.30218647786748,47.86228394633147,6.482725693040916,6.482725693040916,41.37955825329056,189.69170747667195,180.47584735647226,0,105.26111999330428,68.27423562677795,0,0,9.215860120199693,2416.990690658416,2294.5241573990147,1608.3462279951723,269.16527790591175,101.39346710201566,315.6191843959152,122.41616123764406,34.815686830249085,32.72032885144524,54.88014555594973,0,0,0.050372021757304666,2212.03037614952,1350.839154208083,1350.839154208083,211.13858630781127,1139.7005679002718,861.1912219414371,644.9014311162936,36.256659346386826,608.6447717699067,0,0,57.53734721808759,68.74525426162978,5.0940407088719315,23.117267459057633,7.425923301601553,27.82350485107241,0,0,0,0,0,784.8226669342421,320.7022199564968,93.34192903481683,34.56148607070268,34.56148607070268,0,11.46436190398291,24.503432035053645,5.290849396576239,0,5.290849396576239,6.924238432515358,0,0,3.111261278826574,3.111261278826574,32.66324969065556,6.86405488973452,370.77851794292843,8.162842145409481,0.016253303874675794,216.2897908251436,216.2897908251436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03003,Baja California Sur,La Paz,1.4892043559589925,ingresos,292241,11.07,10272.554149712589,2080.307750435962,1309.0466059549183,1309.0466059549183,0,4.032655170186656,3.770180197636117,0,585.9707033520635,0,0,613.8800813795776,323.91179358005553,6.524355745010657,6.524355745010657,317.38743783504486,0,0,0,0,0,0,0,220.5027126525867,27.229438739262417,10.460388813537428,0,0,0,0,182.81288509978685,18.271685073952078,8.551734160046502,0,0.34924756184202027,70.72673900406897,57.70729186850094,0.15947813731189045,51.04102564102564,6.506788090163405,0,0,13.019447135568042,3860.6738164438416,2355.466957308015,1837.4137957760124,345.2527804689014,73.44720661370535,99.353174449396107,328.3008783827424,110.38667570884195,55.6388232254731,162.27537944842732,108.9991345346509,108.9991345346509,1067.9068462184332,2301.056888199961,1931.6908609442614,1931.6908609442614,556.9762965833495,1374.714564360912,369.3660272556998,351.94605050700767,248.8195504747142,103.12650003229348,1173.2342310921656,785.7124329910224,0,0,0,0,0,69.46557514693535,0,0,9.370703352063554,9.370703352063554,9.370703352063554,181.2577859587935,0,0,0,0,0,0,195.15986565910998,0,0,0,0,387.5217981011432,0,154.40295808305885,154.40295808305885,0.2624749725505393,0,181.2577859587935,0,0,17.419976748692115,17.419976748692115,122.2275721759349,8.551734160046502,387.5217981011432,387.5217981011432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04002,Campeche,Campeche,1.4564624228456382,ingresos,294077,10.72,11041.873562987648,709.3127969379425,499.053003840955,466.85862073580387,0,185.41137698906599,5.21493288366055,35.07645106462708,0,0,0,1734.6374379357878,1180.3999611889562,61.16495362749428,61.16495362749428,248.22096197856024,0,0,0,764.7577187136146,8.985566306660779,0.5348429491040002,38.320545763573826,508.2517565343076,4.101858915164412,12.681575460713855,0,0,208.28736232116808,260.96096813479477,0,102.4513925134835,92.14647154079843,57.425208442071174,10.304920972685055,102.53985492699509,89.71816490678658,0,11.893791571311947,66.3427885065778,0.4853856345605653,0,12.821690020208509,4558.3740313967965,3299.2497223002906,2222.8977195166017,632.1354371595669,70.4985746978761,373.71799092624565,142.62491802839898,20.003941328408345,24.317280282651463,98.30369641733917,1116.4993910681067,1116.4993910681067,0,3372.840459843953,1834.8590088462413,1834.8590088462413,505.2595655839724,1329.599443262269,1537.9814509977116,1415.0374325825403,0,1415.0374325825403,461.7175894326896,0,4.884115576611662,205.58707056918402,6.974264263058578,1.4764590944982,22.21999170246651,35.53462881920745,34.72126309872726,10.233428353474928,0,0,0,0,0,0,0,0,0,0,0,58.950214799052475,0,58.950214799052475,10.996199194336263,461.7175894326896,461.7175894326896,0,0,0,180.19644410540545,0,0,0,122.9440184151711,122.9440184151711,37.74977583276455,0,0,0,0.22305643661085905,0.22305643661085905,32.19438310515116,24.48783474525234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04003,Campeche,Carmen,0.7380624263003112,ingresos,248845,10.26,13948.682099331987,885.5733417400257,817.7848152788973,679.969328874594,0,0.1417432181137617,0.1417432181137617,47.408341779930886,0,0,0,1079.118374741614,625.4164106083945,222.5412340279496,202.92845000279337,286.91361325490635,0,0,0,0,9.977349816835199,0,0,439.21739546836716,0,0.5400528344653104,0,0,424.15373073577183,2.2614268498048635,9.892056473818208,76.46554985354797,52.817840810234884,27.564762125190548,23.64770904331309,448.9663838719203,186.8821998930541,1.6815246973191698,79.05647381820793,102.79099260157865,1.1693336632161984,2.1838751127321485,262.08418397886624,5725.442612353049,4145.474512558162,2445.9067814871864,600.7715348332363,80.773426339018485,1018.0227698987206,147.99707095940047,22.005474991420385,26.269200379897363,99.72239558808272,1431.9710288354868,1431.9710288354868,0,5076.619998882655,2281.3634803706395,2281.3634803706395,890.093138702443,1391.2703416681964,2795.2565185120156,2103.061174649034,0,2103.061174649034,651.0296256095517,651.0296256095517,150.5361261642338,71.3022259112349,2.271666520347654,7.705683296487545,2.3701285745069716,14.484568664852311,15.749331588146564,8.306000941762372,0,0,0,20.238441463083714,0,20.238441463083714,0,0,0,0,0,105.98421350870332,0,20.60498655195256,0,0,0,5.4662122796236146,5.4662122796236146,0,0,0,19.61278402515623,0,692.1953438629815,692.1953438629815,65.07526117943766,9.50374709689777,0,0,0,0,137.81548640430339,0,85.37922695675076,2.4072164537059946,5.0361141926781965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05002,Coahuila de Zaragoza,Acuña,0,ingresos,163058,9.4,7262.734986126191,1110.7740378815297,0,0,0,0,0,0,1110.7740378815297,0.7446012788032332,0.7446012788032332,971.3032211364459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38447339847991,0,0,72.38447339847991,98.47454457715044,0,0,0,0,0,0,98.47454457715044,2858.6569911931474,2632.1854867897214,1650.486862106406,333.96800579080707,55.83018458197611,591.900434310532,170.48773072747014,47.765906623235615,51.46188925081433,71.25993485342019,55.98377367595609,55.98377367595609,0,1881.3804318976956,1575.318554711063,1575.318554711063,344.22929183254917,1231.0892628785136,306.0618771866329,306.0618771866329,0,306.0618771866329,269.01668476293884,269.01668476293884,0,0,0,0,0,971.3032211364459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05010,Coahuila de Zaragoza,Frontera,0,ingresos,82409,10,7347.174825757365,1150.643323244384,1098.8702690695027,633.0423458195652,465.8279232499375,31.115763751978452,2.2690695026795877,20.65729042290284,0,0,0,421.1674395357232,272.66656485158137,0.45350290172993085,0.45350290172993085,268.2717352067309,0,0,0,0,3.94132674312054,0,0,8.339432982534085,8.339432982534085,0,0,0,0,0,0,5.705745147585594,5.705745147585594,5.705745147585594,0,32.69791464193486,32.69791464193486,0,32.69791464193486,0,0,0,0,3646.4837697498124,3241.9111154305388,2409.3742815094547,441.7368172604337,90.09246660927998,300.70755005137033,244.2188098742121,69.72848693527337,75.12387193513453,99.36645100380419,160.3538444450615,160.3538444450615,0,2017.9177241551663,1955.7136867242384,1955.7136867242384,403.0826645933413,1552.6310221308972,62.20403743092772,62.20403743092772,0,62.20403743092772,72.558909282759,72.558909282759,8.743370449559881,98.82445228112071,3.94132674312054,0,0,140.16144170160774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.7039124760503,0,0,0,0,0,0,0,0,0,0,28.846694249298864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
